date,open,high,low,close,volume,adj.close
2010-02-01,144.40,154.50,133.30,152.20,29919000,28.576
2010-01-01,168.50,175.20,137.50,145.20,34513000,27.2618
2009-12-01,144.30,166.00,143.40,169.00,18829500,31.7303
2009-11-02,135.90,153.00,134.00,143.30,23494000,26.905
2009-10-01,126.10,152.00,122.00,137.10,24125400,25.741
2009-09-01,115.00,131.80,112.60,126.10,17208000,23.6757
2009-08-03,106.00,122.70,105.30,115.30,24232100,21.6479
2009-07-01,90.45,106.90,86.05,104.60,19621900,19.639
2009-06-01,84.70,95.75,83.00,90.45,25177300,16.9823
2009-05-01,69.00,87.40,69.00,86.40,25000100,16.2219
2009-04-01,58.10,70.00,57.40,69.00,19784800,12.7355
2009-03-02,43.75,59.85,43.45,57.40,28452700,10.5945
2009-02-02,48.40,50.80,43.50,44.95,19097800,8.2966
2009-01-01,50.00,53.50,41.45,48.40,28665800,8.9333
2008-12-01,42.50,53.00,41.50,50.00,23552800,9.2287
2008-11-03,58.20,58.20,38.30,42.50,38679600,7.8444
2008-10-02,53.00,56.30,35.25,55.00,43208300,10.1515
2008-09-01,67.00,69.80,46.90,55.50,32928700,10.2438
2008-08-01,68.00,71.95,62.20,67.00,17906400,12.3664
2008-07-02,59.30,70.00,57.00,69.55,17312100,12.8371
2008-06-02,67.50,72.05,58.80,60.30,36730000,11.1298
2008-05-02,53.00,70.90,53.00,65.70,50645300,12.1265
2008-04-01,45.85,55.40,44.50,51.55,19012300,9.3816
2008-03-03,49.55,50.00,34.00,44.25,24531700,8.053
2008-02-01,46.95,53.05,45.90,49.70,12992400,9.0449
2008-01-02,59.20,62.20,39.70,46.25,20972200,8.417
2007-12-03,58.70,60.40,51.50,60.00,11664700,10.9194
2007-11-01,65.70,67.20,46.15,58.50,30167400,10.6464
2007-10-02,51.20,72.80,43.85,66.00,33341700,12.0113
2007-09-03,41.40,50.50,38.50,50.20,18039900,9.1359
2007-08-01,36.20,40.50,28.50,40.50,17327700,7.3706
2007-07-03,32.60,38.70,32.00,36.20,12079600,6.588
2007-06-01,33.70,33.85,29.90,31.45,16957200,5.7236
2007-05-02,26.70,34.15,26.65,33.70,36568000,6.133
2007-04-02,25.65,28.10,23.50,26.85,23162400,4.8864
2007-03-01,26.90,29.85,24.65,25.50,18043100,4.6407
2007-02-01,30.35,31.50,25.15,26.55,15415300,4.8318
2007-01-02,27.70,31.90,26.40,30.35,20695800,5.5234
2006-12-01,21.80,27.75,20.95,27.70,19004100,5.0411
2006-11-01,18.88,24.20,18.76,21.50,18090000,3.9128
2006-10-03,17.90,18.70,17.26,18.64,13559500,3.3923
2006-09-01,17.00,18.98,16.74,17.94,16398400,3.2649
2006-08-01,14.84,17.86,14.84,17.00,15601500,3.0938
2006-07-03,16.20,16.20,13.50,14.84,19169200,2.7007
2006-06-01,16.80,18.10,14.40,16.40,22335300,2.9846
2006-05-02,15.70,18.40,14.05,16.80,22819200,3.0574
2006-04-03,13.05,15.75,12.80,15.65,22568900,2.8481
2006-03-01,10.45,13.60,9.80,13.05,23278300,2.375
2006-02-01,10.15,11.40,9.65,10.50,14971100,1.9109
2006-01-03,8.35,10.70,8.35,10.00,23723200,1.8199
2005-12-01,7.95,8.60,7.95,8.30,15940000,1.5105
2005-11-01,8.25,9.10,7.25,7.85,41642200,1.4286
2005-10-03,9.40,9.70,7.85,8.05,13917900,1.465
2005-09-01,7.60,9.50,7.55,9.45,28284400,1.7198
2005-08-01,6.10,8.00,5.75,7.50,31267900,1.3649
2005-07-04,5.90,6.45,5.75,6.10,28765700,1.1101
2005-06-01,5.55,6.65,5.55,5.90,29922900,1.0737
2005-05-03,5.40,5.70,5.20,5.55,23830600,1.01
2005-04-01,5.70,5.70,5.00,5.40,17111300,0.9827
2005-03-01,5.15,5.95,4.975,5.65,24874300,1.0282
2005-02-01,4.55,5.40,4.55,5.10,38859600,0.9281
2005-01-03,4.70,4.975,4.275,4.55,32845100,0.8281
2004-12-01,5.90,6.35,4.625,4.625,38187000,0.8417
2004-11-01,4.55,6.05,4.425,5.90,44871500,1.0737
2004-10-04,3.80,4.80,3.80,4.60,46705400,0.8372
2004-09-01,3.675,3.975,3.45,3.80,20569700,0.6916
2004-08-02,3.85,4.05,3.375,3.675,22818900,0.6688
2004-07-02,4.275,4.45,3.375,3.85,55257800,0.7007
2004-06-16,4.375,4.625,3.95,4.30,374102200,0.7826
